trade_id,portfolio_id,asset_name,action,price,quantity,trade_date,description
0,0,AAPL,BUY,150.25,10,2025-10-15 09:42:00,Achat stratégique après baisse
1,0,TSLA,SELL,750.50,5,2025-10-17 11:15:00,Vente partielle pour sécuriser profit
2,1,TSLA,BUY,760.00,8,2025-10-20 14:03:00,Achat TSLA anticipant hausses
3,1,NVDA,SELL,320.50,12,2025-10-22 10:50:00,Vente suite à rebalancement du portefeuille
4,2,GOOGL,BUY,2800.75,3,2025-10-18 13:30:00,Achat long terme sur GOOGL
5,2,DIS,SELL,110.10,15,2025-10-19 15:25:00,Vente pour diversifier les positions
6,3,AAPL,BUY,149.80,20,2025-10-21 10:05:00,Achat opportunité AAPL
7,3,TSLA,SELL,755.00,4,2025-10-23 16:40:00,Vente TSLA après rebond
8,4,AMZN,BUY,3500.00,2,2025-10-25 11:20:00,Achat AMZN pour croissance long terme
9,4,GOOGL,SELL,2795.00,1,2025-10-26 12:55:00,Petite vente GOOGL pour équilibrer
10,5,FB,BUY,345.00,10,2025-10-27 09:10:00,Achat FB suite à nouvelles positives
11,5,AAPL,SELL,150.50,6,2025-10-28 14:35:00,Vente partielle AAPL
12,6,GOOGL,BUY,2802.50,2,2025-10-29 10:40:00,Achat supplémentaire GOOGL
13,6,NFLX,SELL,600.25,5,2025-10-30 15:05:00,Vente NFLX pour prise de bénéfices
14,7,MSFT,BUY,310.75,8,2025-11-01 11:10:00,Achat MSFT après correction
15,7,TSLA,SELL,758.00,7,2025-11-02 13:25:00,Vente TSLA suite à volatilité
16,8,AMZN,BUY,3490.50,3,2025-11-03 12:15:00,Achat AMZN anticipant croissance
17,8,NVDA,SELL,322.00,10,2025-11-04 16:05:00,Vente NVDA après hausse
18,9,AAPL,BUY,151.00,5,2025-11-05 09:50:00,Achat AAPL pour renforcement position
19,9,TSLA,SELL,760.50,2,2025-11-06 14:10:00,Vente TSLA rapide
20,0,NVDA,BUY,321.50,6,2025-10-14 10:25:00,Achat NVDA
21,0,TSLA,SELL,759.00,3,2025-10-16 12:45:00,Vente TSLA partielle
22,1,DIS,BUY,112.00,10,2025-10-19 11:05:00,Achat DIS pour diversification
23,1,GOOGL,SELL,2805.00,1,2025-10-21 15:20:00,Vente GOOGL minime
24,2,AAPL,BUY,150.25,7,2025-10-20 09:35:00,Achat opportunité AAPL
25,2,TSLA,SELL,757.50,5,2025-10-22 16:50:00,Vente TSLA pour sécuriser gains
26,3,AMZN,BUY,3510.00,2,2025-10-23 10:55:00,Achat AMZN suite à analyse
27,3,NVDA,SELL,323.50,4,2025-10-24 13:10:00,Vente NVDA stratégique
28,4,GOOGL,BUY,2801.00,1,2025-10-25 14:50:00,Achat GOOGL ciblé
29,4,FB,SELL,346.00,8,2025-10-26 15:25:00,Vente FB
30,5,NFLX,BUY,602.00,3,2025-10-27 11:15:00,Achat NFLX
31,5,MSFT,SELL,311.50,5,2025-10-28 13:55:00,Vente MSFT
32,6,AMZN,BUY,3520.00,1,2025-10-29 09:20:00,Achat AMZN petit lot
33,6,AAPL,SELL,152.00,6,2025-10-30 15:10:00,Vente AAPL
34,7,TSLA,BUY,761.00,4,2025-11-01 12:50:00,Achat TSLA
35,7,DIS,SELL,113.00,7,2025-11-02 14:35:00,Vente DIS
36,8,TSLA,BUY,756.00,3,2025-11-03 10:45:00,Achat TSLA
37,8,NVDA,SELL,324.00,5,2025-11-04 16:15:00,Vente NVDA
38,9,GOOGL,BUY,2806.00,2,2025-11-05 13:05:00,Achat GOOGL renforcement
39,9,AAPL,SELL,151.50,9,2025-11-06 15:50:00,Vente AAPL
